Customer_ID,Modelo,Probabilidad_Churn,Prediccion_Churn,Riesgo
103388,B,0.157,0,Bajo
104463,D,0.1377,0,Bajo
104731,A,0.638,1,Alto
102250,I,0.0827,0,Bajo
99832,B,0.2306,0,Bajo
105959,D,0.0426,0,Bajo
101126,H,0.2159,0,Bajo
87490,I,0.078,0,Bajo
103221,I,0.1158,0,Bajo
100642,A,0.1768,0,Bajo
104367,B,0.0807,0,Bajo
107439,H,0.2849,0,Bajo
108341,D,0.4227,0,Medio
105760,D,0.2482,0,Bajo
100322,J,0.1954,0,Bajo
102629,I,0.0677,0,Bajo
102096,B,0.0736,0,Bajo
65885,B,0.3048,0,Medio
35759,I,0.0321,0,Bajo
104862,C,0.1417,0,Bajo
100155,B,0.5169,1,Alto
85346,E,0.3745,0,Medio
104326,I,0.1346,0,Bajo
104824,H,0.0968,0,Bajo
105114,I,0.0694,0,Bajo
104382,I,0.0946,0,Bajo
106901,B,0.5103,1,Alto
103859,A,0.7231,1,Alto
100074,I,0.0487,0,Bajo
108095,B,0.0911,0,Bajo
107836,I,0.0819,0,Bajo
96300,B,0.4304,0,Medio
100927,I,0.0513,0,Bajo
100141,H,0.2587,0,Bajo
104364,B,0.1176,0,Bajo
105450,B,0.1391,0,Bajo
69278,B,0.061,0,Bajo
106226,B,0.3258,0,Medio
102207,B,0.5458,1,Alto
106634,I,0.0733,0,Bajo
101942,B,0.3069,0,Medio
108450,I,0.072,0,Bajo
56627,I,0.0675,0,Bajo
40268,A,0.3865,0,Medio
108378,I,0.0406,0,Bajo
108255,C,0.5091,1,Alto
105329,B,0.1721,0,Bajo
100745,D,0.4277,0,Medio
101484,A,0.2865,0,Bajo
106040,I,0.063,0,Bajo
107591,B,0.1584,0,Bajo
103223,B,0.5312,1,Alto
103722,B,0.2645,0,Bajo
101201,I,0.0973,0,Bajo
104758,D,0.3975,0,Medio
107250,B,0.4666,0,Medio
101451,D,0.3587,0,Medio
91382,B,0.4135,0,Medio
102026,D,0.1463,0,Bajo
103600,I,0.0835,0,Bajo
104413,D,0.1461,0,Bajo
105642,B,0.199,0,Bajo
106648,I,0.0434,0,Bajo
106910,A,0.7112,1,Alto
79306,I,0.0377,0,Bajo
10627,J,0.3144,0,Medio
103232,I,0.0635,0,Bajo
107402,A,0.2378,0,Bajo
107842,D,0.5901,1,Alto
102890,B,0.5482,1,Alto
105434,I,0.0407,0,Bajo
101753,K,0.0532,0,Bajo
83449,B,0.1101,0,Bajo
101208,A,0.637,1,Alto
103503,I,0.0471,0,Bajo
100896,J,0.1949,0,Bajo
100184,D,0.5202,1,Alto
107407,I,0.1374,0,Bajo
29676,I,0.1245,0,Bajo
103475,A,0.6173,1,Alto
105881,B,0.3647,0,Medio
102147,A,0.5776,1,Alto
104175,B,0.2711,0,Bajo
102542,B,0.3477,0,Medio
101286,B,0.2628,0,Bajo
103583,B,0.5117,1,Alto
106208,H,0.1626,0,Bajo
102634,C,0.0725,0,Bajo
49039,I,0.0663,0,Bajo
103270,C,0.338,0,Medio
104623,B,0.0845,0,Bajo
104408,I,0.0318,0,Bajo
101352,I,0.1286,0,Bajo
49878,C,0.6114,1,Alto
101777,I,0.0429,0,Bajo
107881,I,0.0569,0,Bajo
102800,D,0.0657,0,Bajo
108146,C,0.5581,1,Alto
105528,I,0.0908,0,Bajo
19663,I,0.033,0,Bajo
103993,D,0.3926,0,Medio
103216,J,0.1704,0,Bajo
103034,B,0.4119,0,Medio
102963,H,0.2304,0,Bajo
100454,D,0.5229,1,Alto
105137,B,0.0565,0,Bajo
100694,C,0.609,1,Alto
100776,B,0.1919,0,Bajo
106418,J,0.2219,0,Bajo
100225,B,0.224,0,Bajo
105546,I,0.1039,0,Bajo
101622,H,0.2949,0,Bajo
50125,D,0.509,1,Alto
103199,C,0.434,0,Medio
103876,C,0.2378,0,Bajo
105436,J,0.082,0,Bajo
100312,B,0.2343,0,Bajo
108286,E,0.4463,0,Medio
103490,A,0.697,1,Alto
102595,I,0.0309,0,Bajo
57523,D,0.0451,0,Bajo
103520,I,0.1068,0,Bajo
101934,C,0.3561,0,Medio
102200,C,0.2614,0,Bajo
101067,A,0.7295,1,Alto
107684,B,0.3515,0,Medio
106988,I,0.0267,0,Bajo
104231,D,0.1856,0,Bajo
19570,B,0.0875,0,Bajo
103504,B,0.6142,1,Alto
33508,A,0.6528,1,Alto
105827,D,0.2086,0,Bajo
103137,A,0.1895,0,Bajo
106781,I,0.0585,0,Bajo
107240,B,0.3303,0,Medio
105620,I,0.0943,0,Bajo
102926,B,0.0953,0,Bajo
101042,B,0.4988,1,Alto
108488,I,0.0569,0,Bajo
13990,B,0.4916,0,Medio
104545,J,0.2514,0,Bajo
105563,I,0.0344,0,Bajo
104579,A,0.5803,1,Alto
107025,D,0.0507,0,Bajo
100017,J,0.1886,0,Bajo
51719,B,0.627,1,Alto
101795,I,0.0522,0,Bajo
105175,I,0.0129,0,Bajo
105501,C,0.1699,0,Bajo
105217,A,0.5078,1,Alto
100985,I,0.0613,0,Bajo
106417,B,0.2196,0,Bajo
101823,E,0.3643,0,Medio
100150,B,0.5502,1,Alto
107119,A,0.4228,0,Medio
105790,D,0.3681,0,Medio
49512,B,0.6067,1,Alto
103126,B,0.2417,0,Bajo
107207,B,0.3595,0,Medio
25984,B,0.5539,1,Alto
104118,B,0.3071,0,Medio
101235,I,0.0771,0,Bajo
80557,B,0.5048,1,Alto
104868,I,0.1578,0,Bajo
27753,I,0.1362,0,Bajo
102955,I,0.1019,0,Bajo
103276,D,0.1681,0,Bajo
104076,G,0.3,0,Medio
102535,I,0.0695,0,Bajo
103274,D,0.1196,0,Bajo
100495,B,0.5031,1,Alto
107558,D,0.1355,0,Bajo
104402,B,0.6974,1,Alto
17561,A,0.6057,1,Alto
105749,B,0.6256,1,Alto
101220,A,0.1903,0,Bajo
104890,I,0.0978,0,Bajo
102425,D,0.5193,1,Alto
35583,D,0.2295,0,Bajo
100479,C,0.4523,0,Medio
101976,B,0.0892,0,Bajo
70836,A,0.5791,1,Alto
34671,B,0.361,0,Medio
108441,B,0.2847,0,Bajo
106906,D,0.0736,0,Bajo
103813,I,0.0522,0,Bajo
